Bulbasaur:Bulbasaur(1), Grass/Poison Type, HP 45, Attack 49, Defense 49, Sp. Attack 65, Sp. Defense 65, Speed 45§
simisage:Simisage(512), Grass Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
pansear:Pansear(513), Fire Type, HP 50, Attack 53, Defense 48, Sp. Attack 53, Sp. Defense 48, Speed 64§
simisear:Simisear(514), Fire Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
panpour:Panpour(515), Water Type, HP 50, Attack 53, Defense 48, Sp. Attack 53, Sp. Defense 48, Speed 64§
simipour:Simipour(516), Water Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
munna:Munna(517), Psychic Type, HP 76, Attack 25, Defense 45, Sp. Attack 67, Sp. Defense 55, Speed 24§
musharna:Musharna(518), Psychic Type, HP 116, Attack 55, Defense 85, Sp. Attack 107, Sp. Defense 95, Speed 29§
pidove:Pidove(519), Normal/Flying Type, HP 50, Attack 55, Defense 50, Sp. Attack 36, Sp. Defense 30, Speed 43§
tranquill:Tranquill(520), Normal/Flying Type, HP 62, Attack 77, Defense 62, Sp. Attack 50, Sp. Defense 42, Speed 65§
unfezant:Unfezant(521), Normal/Flying Type, HP 80, Attack 115, Defense 80, Sp. Attack 65, Sp. Defense 55, Speed 93§
blitzle:Blitzle(522), Electric Type, HP 45, Attack 60, Defense 32, Sp. Attack 50, Sp. Defense 32, Speed 76§
zebstrika:Zebstrika(523), Electric Type, HP 75, Attack 100, Defense 63, Sp. Attack 80, Sp. Defense 63, Speed 116§
roggenrola:Roggenrola(524), Rock Type, HP 55, Attack 75, Defense 85, Sp. Attack 25, Sp. Defense 25, Speed 15§
boldore:Boldore(525), Rock Type, HP 70, Attack 105, Defense 105, Sp. Attack 50, Sp. Defense 40, Speed 20§
gigalith:Gigalith(526), Rock Type, HP 85, Attack 135, Defense 130, Sp. Attack 60, Sp. Defense 80, Speed 25§
woobat:Woobat(527), Psychic/Flying Type, HP 65, Attack 45, Defense 43, Sp. Attack 55, Sp. Defense 43, Speed 72§
swoobat:Swoobat(528), Psychic/Flying Type, HP 67, Attack 57, Defense 55, Sp. Attack 77, Sp. Defense 55, Speed 114§
drilbur:Drilbur(529), Ground Type, HP 60, Attack 85, Defense 40, Sp. Attack 30, Sp. Defense 45, Speed 68§
excadrill:Excadrill(530), Ground/Steel Type, HP 110, Attack 135, Defense 60, Sp. Attack 50, Sp. Defense 65, Speed 88§
audino:Audino(531), Normal Type, HP 103, Attack 60, Defense 86, Sp. Attack 60, Sp. Defense 86, Speed 50§
timburr:Timburr(532), Fighting Type, HP 75, Attack 80, Defense 55, Sp. Attack 25, Sp. Defense 35, Speed 35§
gurdurr:Gurdurr(533), Fighting Type, HP 85, Attack 105, Defense 85, Sp. Attack 40, Sp. Defense 50, Speed 40§
conkeldurr:Conkeldurr(534), Fighting Type, HP 105, Attack 140, Defense 95, Sp. Attack 55, Sp. Defense 65, Speed 45§
tympole:Tympole(535), Water Type, HP 50, Attack 50, Defense 40, Sp. Attack 50, Sp. Defense 40, Speed 64§
palpitoad:Palpitoad(536), Water/Ground Type, HP 75, Attack 65, Defense 55, Sp. Attack 65, Sp. Defense 55, Speed 69§
seismitoad:Seismitoad(537), Water/Ground Type, HP 105, Attack 95, Defense 75, Sp. Attack 85, Sp. Defense 75, Speed 74§
throh:Throh(538), Fighting Type, HP 120, Attack 100, Defense 85, Sp. Attack 30, Sp. Defense 85, Speed 45§
sawk:Sawk(539), Fighting Type, HP 75, Attack 125, Defense 75, Sp. Attack 30, Sp. Defense 75, Speed 85§
sewaddle:Sewaddle(540), Bug/Grass Type, HP 45, Attack 53, Defense 70, Sp. Attack 40, Sp. Defense 60, Speed 42§
swadloon:Swadloon(541), Bug/Grass Type, HP 55, Attack 63, Defense 90, Sp. Attack 50, Sp. Defense 80, Speed 42§
leavanny:Leavanny(542), Bug/Grass Type, HP 75, Attack 103, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 92§
venipede:Venipede(543), Bug/Poison Type, HP 30, Attack 45, Defense 59, Sp. Attack 30, Sp. Defense 39, Speed 57§
whirlipede:Whirlipede(544), Bug/Poison Type, HP 40, Attack 55, Defense 99, Sp. Attack 40, Sp. Defense 79, Speed 47§
scolipede:Scolipede(545), Bug/Poison Type, HP 60, Attack 100, Defense 89, Sp. Attack 55, Sp. Defense 69, Speed 112§
cottonee:Cottonee(546), Grass/Fairy Type, HP 40, Attack 27, Defense 60, Sp. Attack 37, Sp. Defense 50, Speed 66§
whimsicott:Whimsicott(547), Grass/Fairy Type, HP 60, Attack 67, Defense 85, Sp. Attack 77, Sp. Defense 75, Speed 116§
petilil:Petilil(548), Grass Type, HP 45, Attack 35, Defense 50, Sp. Attack 70, Sp. Defense 50, Speed 30§
lilligant:Lilligant(549), Grass Type, HP 70, Attack 60, Defense 75, Sp. Attack 110, Sp. Defense 75, Speed 90§
basculin:Basculin(550), Water Type, HP 70, Attack 92, Defense 65, Sp. Attack 80, Sp. Defense 55, Speed 98§
sandile:Sandile(551), Ground/Dark Type, HP 50, Attack 72, Defense 35, Sp. Attack 35, Sp. Defense 35, Speed 65§
krokorok:Krokorok(552), Ground/Dark Type, HP 60, Attack 82, Defense 45, Sp. Attack 45, Sp. Defense 45, Speed 74§
krookodile:Krookodile(553), Ground/Dark Type, HP 95, Attack 117, Defense 80, Sp. Attack 65, Sp. Defense 70, Speed 92§
darumaka:Darumaka(554), Fire Type, HP 70, Attack 90, Defense 45, Sp. Attack 15, Sp. Defense 45, Speed 50§
darmanitan:Darmanitan(555), Fire Type, HP 105, Attack 140, Defense 55, Sp. Attack 30, Sp. Defense 55, Speed 95§
maractus:Maractus(556), Grass Type, HP 75, Attack 86, Defense 67, Sp. Attack 106, Sp. Defense 67, Speed 60§
dwebble:Dwebble(557), Bug/Rock Type, HP 50, Attack 65, Defense 85, Sp. Attack 35, Sp. Defense 35, Speed 55§
crustle:Crustle(558), Bug/Rock Type, HP 70, Attack 105, Defense 125, Sp. Attack 65, Sp. Defense 75, Speed 45§
scraggy:Scraggy(559), Dark/Fighting Type, HP 50, Attack 75, Defense 70, Sp. Attack 35, Sp. Defense 70, Speed 48§
scrafty:Scrafty(560), Dark/Fighting Type, HP 65, Attack 90, Defense 115, Sp. Attack 45, Sp. Defense 115, Speed 58§
sigilyph:Sigilyph(561), Psychic/Flying Type, HP 72, Attack 58, Defense 80, Sp. Attack 103, Sp. Defense 80, Speed 97§
yamask:Yamask(562), Ghost Type, HP 38, Attack 30, Defense 85, Sp. Attack 55, Sp. Defense 65, Speed 30§
cofagrigus:Cofagrigus(563), Ghost Type, HP 58, Attack 50, Defense 145, Sp. Attack 95, Sp. Defense 105, Speed 30§
tirtouga:Tirtouga(564), Water/Rock Type, HP 54, Attack 78, Defense 103, Sp. Attack 53, Sp. Defense 45, Speed 22§
carracosta:Carracosta(565), Water/Rock Type, HP 74, Attack 108, Defense 133, Sp. Attack 83, Sp. Defense 65, Speed 32§
archen:Archen(566), Rock/Flying Type, HP 55, Attack 112, Defense 45, Sp. Attack 74, Sp. Defense 45, Speed 70§
archeops:Archeops(567), Rock/Flying Type, HP 75, Attack 140, Defense 65, Sp. Attack 112, Sp. Defense 65, Speed 110§
trubbish:Trubbish(568), Poison Type, HP 50, Attack 50, Defense 62, Sp. Attack 40, Sp. Defense 62, Speed 65§
garbodor:Garbodor(569), Poison Type, HP 80, Attack 95, Defense 82, Sp. Attack 60, Sp. Defense 82, Speed 75§
zorua:Zorua(570), Dark Type, HP 40, Attack 65, Defense 40, Sp. Attack 80, Sp. Defense 40, Speed 65§
zoroark:Zoroark(571), Dark Type, HP 60, Attack 105, Defense 60, Sp. Attack 120, Sp. Defense 60, Speed 105§
minccino:Minccino(572), Normal Type, HP 55, Attack 50, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 75§
cinccino:Cinccino(573), Normal Type, HP 75, Attack 95, Defense 60, Sp. Attack 65, Sp. Defense 60, Speed 115§
gothita:Gothita(574), Psychic Type, HP 45, Attack 30, Defense 50, Sp. Attack 55, Sp. Defense 65, Speed 45§
gothorita:Gothorita(575), Psychic Type, HP 60, Attack 45, Defense 70, Sp. Attack 75, Sp. Defense 85, Speed 55§
gothitelle:Gothitelle(576), Psychic Type, HP 70, Attack 55, Defense 95, Sp. Attack 95, Sp. Defense 110, Speed 65§
solosis:Solosis(577), Psychic Type, HP 45, Attack 30, Defense 40, Sp. Attack 105, Sp. Defense 50, Speed 20§
duosion:Duosion(578), Psychic Type, HP 65, Attack 40, Defense 50, Sp. Attack 125, Sp. Defense 60, Speed 30§
reuniclus:Reuniclus(579), Psychic Type, HP 110, Attack 65, Defense 75, Sp. Attack 125, Sp. Defense 85, Speed 30§
ducklett:Ducklett(580), Water/Flying Type, HP 62, Attack 44, Defense 50, Sp. Attack 44, Sp. Defense 50, Speed 55§
swanna:Swanna(581), Water/Flying Type, HP 75, Attack 87, Defense 63, Sp. Attack 87, Sp. Defense 63, Speed 98§
vanillite:Vanillite(582), Ice Type, HP 36, Attack 50, Defense 50, Sp. Attack 65, Sp. Defense 60, Speed 44§
vanillish:Vanillish(583), Ice Type, HP 51, Attack 65, Defense 65, Sp. Attack 80, Sp. Defense 75, Speed 59§
vanilluxe:Vanilluxe(584), Ice Type, HP 71, Attack 95, Defense 85, Sp. Attack 110, Sp. Defense 95, Speed 79§
deerling:Deerling(585), Normal/Grass Type, HP 60, Attack 60, Defense 50, Sp. Attack 40, Sp. Defense 50, Speed 75§
sawsbuck:Sawsbuck(586), Normal/Grass Type, HP 80, Attack 100, Defense 70, Sp. Attack 60, Sp. Defense 70, Speed 95§
emolga:Emolga(587), Electric/Flying Type, HP 55, Attack 75, Defense 60, Sp. Attack 75, Sp. Defense 60, Speed 103§
karrablast:Karrablast(588), Bug Type, HP 50, Attack 75, Defense 45, Sp. Attack 40, Sp. Defense 45, Speed 60§
escavalier:Escavalier(589), Bug/Steel Type, HP 70, Attack 135, Defense 105, Sp. Attack 60, Sp. Defense 105, Speed 20§
foongus:Foongus(590), Grass/Poison Type, HP 69, Attack 55, Defense 45, Sp. Attack 55, Sp. Defense 55, Speed 15§
amoonguss:Amoonguss(591), Grass/Poison Type, HP 114, Attack 85, Defense 70, Sp. Attack 85, Sp. Defense 80, Speed 30§
frillish:Frillish(592), Water/Ghost Type, HP 55, Attack 40, Defense 50, Sp. Attack 65, Sp. Defense 85, Speed 40§
jellicent:Jellicent(593), Water/Ghost Type, HP 100, Attack 60, Defense 70, Sp. Attack 85, Sp. Defense 105, Speed 60§
alomomola:Alomomola(594), Water Type, HP 165, Attack 75, Defense 80, Sp. Attack 40, Sp. Defense 45, Speed 65§
joltik:Joltik(595), Bug/Electric Type, HP 50, Attack 47, Defense 50, Sp. Attack 57, Sp. Defense 50, Speed 65§
galvantula:Galvantula(596), Bug/Electric Type, HP 70, Attack 77, Defense 60, Sp. Attack 97, Sp. Defense 60, Speed 108§
ferroseed:Ferroseed(597), Grass/Steel Type, HP 44, Attack 50, Defense 91, Sp. Attack 24, Sp. Defense 86, Speed 10§
ferrothorn:Ferrothorn(598), Grass/Steel Type, HP 74, Attack 94, Defense 131, Sp. Attack 54, Sp. Defense 116, Speed 20§
klink:Klink(599), Steel Type, HP 40, Attack 55, Defense 70, Sp. Attack 45, Sp. Defense 60, Speed 30§
klang:Klang(600), Steel Type, HP 60, Attack 80, Defense 95, Sp. Attack 70, Sp. Defense 85, Speed 50§
klinklang:Klinklang(601), Steel Type, HP 60, Attack 100, Defense 115, Sp. Attack 70, Sp. Defense 85, Speed 90§
tynamo:Tynamo(602), Electric Type, HP 35, Attack 55, Defense 40, Sp. Attack 45, Sp. Defense 40, Speed 60§
eelektrik:Eelektrik(603), Electric Type, HP 65, Attack 85, Defense 70, Sp. Attack 75, Sp. Defense 70, Speed 40§
eelektross:Eelektross(604), Electric Type, HP 85, Attack 115, Defense 80, Sp. Attack 105, Sp. Defense 80, Speed 50§
elgyem:Elgyem(605), Psychic Type, HP 55, Attack 55, Defense 55, Sp. Attack 85, Sp. Defense 55, Speed 30§
beheeyem:Beheeyem(606), Psychic Type, HP 75, Attack 75, Defense 75, Sp. Attack 125, Sp. Defense 95, Speed 40§
litwick:Litwick(607), Ghost/Fire Type, HP 50, Attack 30, Defense 55, Sp. Attack 65, Sp. Defense 55, Speed 20§
lampent:Lampent(608), Ghost/Fire Type, HP 60, Attack 40, Defense 60, Sp. Attack 95, Sp. Defense 60, Speed 55§
chandelure:Chandelure(609), Ghost/Fire Type, HP 60, Attack 55, Defense 90, Sp. Attack 145, Sp. Defense 90, Speed 80§
axew:Axew(610), Dragon Type, HP 46, Attack 87, Defense 60, Sp. Attack 30, Sp. Defense 40, Speed 57§
fraxure:Fraxure(611), Dragon Type, HP 66, Attack 117, Defense 70, Sp. Attack 40, Sp. Defense 50, Speed 67§
haxorus:Haxorus(612), Dragon Type, HP 76, Attack 147, Defense 90, Sp. Attack 60, Sp. Defense 70, Speed 97§
cubchoo:Cubchoo(613), Ice Type, HP 55, Attack 70, Defense 40, Sp. Attack 60, Sp. Defense 40, Speed 40§
beartic:Beartic(614), Ice Type, HP 95, Attack 130, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 50§
cryogonal:Cryogonal(615), Ice Type, HP 80, Attack 50, Defense 50, Sp. Attack 95, Sp. Defense 135, Speed 105§
shelmet:Shelmet(616), Bug Type, HP 50, Attack 40, Defense 85, Sp. Attack 40, Sp. Defense 65, Speed 25§
accelgor:Accelgor(617), Bug Type, HP 80, Attack 70, Defense 40, Sp. Attack 100, Sp. Defense 60, Speed 145§
stunfisk:Stunfisk(618), Ground/Electric Type, HP 109, Attack 66, Defense 84, Sp. Attack 81, Sp. Defense 99, Speed 32§
mienfoo:Mienfoo(619), Fighting Type, HP 45, Attack 85, Defense 50, Sp. Attack 55, Sp. Defense 50, Speed 65§
mienshao:Mienshao(620), Fighting Type, HP 65, Attack 125, Defense 60, Sp. Attack 95, Sp. Defense 60, Speed 105§
druddigon:Druddigon(621), Dragon Type, HP 77, Attack 120, Defense 90, Sp. Attack 60, Sp. Defense 90, Speed 48§
golett:Golett(622), Ground/Ghost Type, HP 59, Attack 74, Defense 50, Sp. Attack 35, Sp. Defense 50, Speed 35§
golurk:Golurk(623), Ground/Ghost Type, HP 89, Attack 124, Defense 80, Sp. Attack 55, Sp. Defense 80, Speed 55§
pawniard:Pawniard(624), Dark/Steel Type, HP 45, Attack 85, Defense 70, Sp. Attack 40, Sp. Defense 40, Speed 60§
bisharp:Bisharp(625), Dark/Steel Type, HP 65, Attack 125, Defense 100, Sp. Attack 60, Sp. Defense 70, Speed 70§
bouffalant:Bouffalant(626), Normal Type, HP 95, Attack 110, Defense 95, Sp. Attack 40, Sp. Defense 95, Speed 55§
rufflet:Rufflet(627), Normal/Flying Type, HP 70, Attack 83, Defense 50, Sp. Attack 37, Sp. Defense 50, Speed 60§
braviary:Braviary(628), Normal/Flying Type, HP 100, Attack 123, Defense 75, Sp. Attack 57, Sp. Defense 75, Speed 80§
vullaby:Vullaby(629), Dark/Flying Type, HP 70, Attack 55, Defense 75, Sp. Attack 45, Sp. Defense 65, Speed 60§
mandibuzz:Mandibuzz(630), Dark/Flying Type, HP 110, Attack 65, Defense 105, Sp. Attack 55, Sp. Defense 95, Speed 80§
heatmor:Heatmor(631), Fire Type, HP 85, Attack 97, Defense 66, Sp. Attack 105, Sp. Defense 66, Speed 65§
durant:Durant(632), Bug/Steel Type, HP 58, Attack 109, Defense 112, Sp. Attack 48, Sp. Defense 48, Speed 109§
deino:Deino(633), Dark/Dragon Type, HP 52, Attack 65, Defense 50, Sp. Attack 45, Sp. Defense 50, Speed 38§
zweilous:Zweilous(634), Dark/Dragon Type, HP 72, Attack 85, Defense 70, Sp. Attack 65, Sp. Defense 70, Speed 58§
hydreigon:Hydreigon(635), Dark/Dragon Type, HP 92, Attack 105, Defense 90, Sp. Attack 125, Sp. Defense 90, Speed 98§
larvesta:Larvesta(636), Bug/Fire Type, HP 55, Attack 85, Defense 55, Sp. Attack 50, Sp. Defense 55, Speed 60§
volcarona:Volcarona(637), Bug/Fire Type, HP 85, Attack 60, Defense 65, Sp. Attack 135, Sp. Defense 105, Speed 100§
cobalion:Cobalion(638), Steel/Fighting Type, HP 91, Attack 90, Defense 129, Sp. Attack 90, Sp. Defense 72, Speed 108§
terrakion:Terrakion(639), Rock/Fighting Type, HP 91, Attack 129, Defense 90, Sp. Attack 72, Sp. Defense 90, Speed 108§
virizion:Virizion(640), Grass/Fighting Type, HP 91, Attack 90, Defense 72, Sp. Attack 90, Sp. Defense 129, Speed 108§
tornadus:Tornadus(641), Flying Type, HP 79, Attack 115, Defense 70, Sp. Attack 125, Sp. Defense 80, Speed 111§
thundurus:Thundurus(642), Electric/Flying Type, HP 79, Attack 115, Defense 70, Sp. Attack 125, Sp. Defense 80, Speed 111§
reshiram:Reshiram(643), Dragon/Fire Type, HP 100, Attack 120, Defense 100, Sp. Attack 150, Sp. Defense 120, Speed 90§
zekrom:Zekrom(644), Dragon/Electric Type, HP 100, Attack 150, Defense 120, Sp. Attack 120, Sp. Defense 100, Speed 90§
landorus:Landorus(645), Ground/Flying Type, HP 89, Attack 125, Defense 90, Sp. Attack 115, Sp. Defense 80, Speed 101§
kyurem:Kyurem(646), Dragon/Ice Type, HP 125, Attack 130, Defense 90, Sp. Attack 130, Sp. Defense 90, Speed 95§
keldeo:Keldeo(647), Water/Fighting Type, HP 91, Attack 72, Defense 90, Sp. Attack 129, Sp. Defense 90, Speed 108§
meloetta:Meloetta(648), Normal/Psychic Type, HP 100, Attack 77, Defense 77, Sp. Attack 128, Sp. Defense 128, Speed 90§
genesect:Genesect(649), Bug/Steel Type, HP 71, Attack 120, Defense 95, Sp. Attack 120, Sp. Defense 95, Speed 99§
chespin:Chespin(650), Grass Type, HP 56, Attack 61, Defense 65, Sp. Attack 48, Sp. Defense 45, Speed 38§
quilladin:Quilladin(651), Grass Type, HP 61, Attack 78, Defense 95, Sp. Attack 56, Sp. Defense 58, Speed 57§
chesnaught:Chesnaught(652), Grass/Fighting Type, HP 88, Attack 107, Defense 122, Sp. Attack 74, Sp. Defense 75, Speed 64§
fennekin:Fennekin(653), Fire Type, HP 40, Attack 45, Defense 40, Sp. Attack 62, Sp. Defense 60, Speed 60§
braixen:Braixen(654), Fire Type, HP 59, Attack 59, Defense 58, Sp. Attack 90, Sp. Defense 70, Speed 73§
delphox:Delphox(655), Fire/Psychic Type, HP 75, Attack 69, Defense 72, Sp. Attack 114, Sp. Defense 100, Speed 104§
froakie:Froakie(656), Water Type, HP 41, Attack 56, Defense 40, Sp. Attack 62, Sp. Defense 44, Speed 71§
frogadier:Frogadier(657), Water Type, HP 54, Attack 63, Defense 52, Sp. Attack 83, Sp. Defense 56, Speed 97§
greninja:Greninja(658), Water/Dark Type, HP 72, Attack 95, Defense 67, Sp. Attack 103, Sp. Defense 71, Speed 122§
bunnelby:Bunnelby(659), Normal Type, HP 38, Attack 36, Defense 38, Sp. Attack 32, Sp. Defense 36, Speed 57§
diggersby:Diggersby(660), Normal/Ground Type, HP 85, Attack 56, Defense 77, Sp. Attack 50, Sp. Defense 77, Speed 78§
fletchling:Fletchling(661), Normal/Flying Type, HP 45, Attack 50, Defense 43, Sp. Attack 40, Sp. Defense 38, Speed 62§
fletchinder:Fletchinder(662), Fire/Flying Type, HP 62, Attack 73, Defense 55, Sp. Attack 56, Sp. Defense 52, Speed 84§
talonflame:Talonflame(663), Fire/Flying Type, HP 78, Attack 81, Defense 71, Sp. Attack 74, Sp. Defense 69, Speed 126§
scatterbug:Scatterbug(664), Bug Type, HP 38, Attack 35, Defense 40, Sp. Attack 27, Sp. Defense 25, Speed 35§
spewpa:Spewpa(665), Bug Type, HP 45, Attack 22, Defense 60, Sp. Attack 27, Sp. Defense 30, Speed 29§
vivillon:Vivillon(666), Bug/Flying Type, HP 80, Attack 52, Defense 50, Sp. Attack 90, Sp. Defense 50, Speed 89§
litleo:Litleo(667), Fire/Normal Type, HP 62, Attack 50, Defense 58, Sp. Attack 73, Sp. Defense 54, Speed 72§
pyroar:Pyroar(668), Fire/Normal Type, HP 86, Attack 68, Defense 72, Sp. Attack 109, Sp. Defense 66, Speed 106§
flabébé:Flabébé(669), Fairy Type, HP 44, Attack 38, Defense 39, Sp. Attack 61, Sp. Defense 79, Speed 42§
floette:Floette(670), Fairy Type, HP 54, Attack 45, Defense 47, Sp. Attack 75, Sp. Defense 98, Speed 52§
florges:Florges(671), Fairy Type, HP 78, Attack 65, Defense 68, Sp. Attack 112, Sp. Defense 154, Speed 75§
skiddo:Skiddo(672), Grass Type, HP 66, Attack 65, Defense 48, Sp. Attack 62, Sp. Defense 57, Speed 52§
gogoat:Gogoat(673), Grass Type, HP 123, Attack 100, Defense 62, Sp. Attack 97, Sp. Defense 81, Speed 68§
pancham:Pancham(674), Fighting Type, HP 67, Attack 82, Defense 62, Sp. Attack 46, Sp. Defense 48, Speed 43§
pangoro:Pangoro(675), Fighting/Dark Type, HP 95, Attack 124, Defense 78, Sp. Attack 69, Sp. Defense 71, Speed 58§
furfrou:Furfrou(676), Normal Type, HP 75, Attack 80, Defense 60, Sp. Attack 65, Sp. Defense 90, Speed 102§
espurr:Espurr(677), Psychic Type, HP 62, Attack 48, Defense 54, Sp. Attack 63, Sp. Defense 60, Speed 68§
meowstic:Meowstic(678), Psychic Type, HP 74, Attack 48, Defense 76, Sp. Attack 83, Sp. Defense 81, Speed 104§
honedge:Honedge(679), Steel/Ghost Type, HP 45, Attack 80, Defense 100, Sp. Attack 35, Sp. Defense 37, Speed 28§
doublade:Doublade(680), Steel/Ghost Type, HP 59, Attack 110, Defense 150, Sp. Attack 45, Sp. Defense 49, Speed 35§
aegislash:Aegislash(681), Steel/Ghost Type, HP 60, Attack 50, Defense 140, Sp. Attack 50, Sp. Defense 140, Speed 60§
spritzee:Spritzee(682), Fairy Type, HP 78, Attack 52, Defense 60, Sp. Attack 63, Sp. Defense 65, Speed 23§
aromatisse:Aromatisse(683), Fairy Type, HP 101, Attack 72, Defense 72, Sp. Attack 99, Sp. Defense 89, Speed 29§
swirlix:Swirlix(684), Fairy Type, HP 62, Attack 48, Defense 66, Sp. Attack 59, Sp. Defense 57, Speed 49§
slurpuff:Slurpuff(685), Fairy Type, HP 82, Attack 80, Defense 86, Sp. Attack 85, Sp. Defense 75, Speed 72§
inkay:Inkay(686), Dark/Psychic Type, HP 53, Attack 54, Defense 53, Sp. Attack 37, Sp. Defense 46, Speed 45§
malamar:Malamar(687), Dark/Psychic Type, HP 86, Attack 92, Defense 88, Sp. Attack 68, Sp. Defense 75, Speed 73§
binacle:Binacle(688), Rock/Water Type, HP 42, Attack 52, Defense 67, Sp. Attack 39, Sp. Defense 56, Speed 50§
barbaracle:Barbaracle(689), Rock/Water Type, HP 72, Attack 105, Defense 115, Sp. Attack 54, Sp. Defense 86, Speed 68§
skrelp:Skrelp(690), Poison/Water Type, HP 50, Attack 60, Defense 60, Sp. Attack 60, Sp. Defense 60, Speed 30§
dragalge:Dragalge(691), Poison/Dragon Type, HP 65, Attack 75, Defense 90, Sp. Attack 97, Sp. Defense 123, Speed 44§
clauncher:Clauncher(692), Water Type, HP 50, Attack 53, Defense 62, Sp. Attack 58, Sp. Defense 63, Speed 44§
clawitzer:Clawitzer(693), Water Type, HP 71, Attack 73, Defense 88, Sp. Attack 120, Sp. Defense 89, Speed 59§
helioptile:Helioptile(694), Electric/Normal Type, HP 44, Attack 38, Defense 33, Sp. Attack 61, Sp. Defense 43, Speed 70§
heliolisk:Heliolisk(695), Electric/Normal Type, HP 62, Attack 55, Defense 52, Sp. Attack 109, Sp. Defense 94, Speed 109§
tyrunt:Tyrunt(696), Rock/Dragon Type, HP 58, Attack 89, Defense 77, Sp. Attack 45, Sp. Defense 45, Speed 48§
tyrantrum:Tyrantrum(697), Rock/Dragon Type, HP 82, Attack 121, Defense 119, Sp. Attack 69, Sp. Defense 59, Speed 71§
amaura:Amaura(698), Rock/Ice Type, HP 77, Attack 59, Defense 50, Sp. Attack 67, Sp. Defense 63, Speed 46§
aurorus:Aurorus(699), Rock/Ice Type, HP 123, Attack 77, Defense 72, Sp. Attack 99, Sp. Defense 92, Speed 58§
sylveon:Sylveon(700), Fairy Type, HP 95, Attack 65, Defense 65, Sp. Attack 110, Sp. Defense 130, Speed 60§
hawlucha:Hawlucha(701), Fighting/Flying Type, HP 78, Attack 92, Defense 75, Sp. Attack 74, Sp. Defense 63, Speed 118§
dedenne:Dedenne(702), Electric/Fairy Type, HP 67, Attack 58, Defense 57, Sp. Attack 81, Sp. Defense 67, Speed 101§
carbink:Carbink(703), Rock/Fairy Type, HP 50, Attack 50, Defense 150, Sp. Attack 50, Sp. Defense 150, Speed 50§
goomy:Goomy(704), Dragon Type, HP 45, Attack 50, Defense 35, Sp. Attack 55, Sp. Defense 75, Speed 40§
sliggoo:Sliggoo(705), Dragon Type, HP 68, Attack 75, Defense 53, Sp. Attack 83, Sp. Defense 113, Speed 60§
goodra:Goodra(706), Dragon Type, HP 90, Attack 100, Defense 70, Sp. Attack 110, Sp. Defense 150, Speed 80§
klefki:Klefki(707), Steel/Fairy Type, HP 57, Attack 80, Defense 91, Sp. Attack 80, Sp. Defense 87, Speed 75§
phantump:Phantump(708), Ghost/Grass Type, HP 43, Attack 70, Defense 48, Sp. Attack 50, Sp. Defense 60, Speed 38§
trevenant:Trevenant(709), Ghost/Grass Type, HP 85, Attack 110, Defense 76, Sp. Attack 65, Sp. Defense 82, Speed 56§
pumpkaboo:Pumpkaboo(710), Ghost/Grass Type, HP 49, Attack 66, Defense 70, Sp. Attack 44, Sp. Defense 55, Speed 51§
gourgeist:Gourgeist(711), Ghost/Grass Type, HP 65, Attack 90, Defense 122, Sp. Attack 58, Sp. Defense 75, Speed 84§
bergmite:Bergmite(712), Ice Type, HP 55, Attack 69, Defense 85, Sp. Attack 32, Sp. Defense 35, Speed 28§
avalugg:Avalugg(713), Ice Type, HP 95, Attack 117, Defense 184, Sp. Attack 44, Sp. Defense 46, Speed 28§
noibat:Noibat(714), Flying/Dragon Type, HP 40, Attack 30, Defense 35, Sp. Attack 45, Sp. Defense 40, Speed 55§
noivern:Noivern(715), Flying/Dragon Type, HP 85, Attack 70, Defense 80, Sp. Attack 97, Sp. Defense 80, Speed 123§
xerneas:Xerneas(716), Fairy Type, HP 126, Attack 131, Defense 95, Sp. Attack 131, Sp. Defense 98, Speed 99§
yveltal:Yveltal(717), Dark/Flying Type, HP 126, Attack 131, Defense 95, Sp. Attack 131, Sp. Defense 98, Speed 99§
zygarde:Zygarde(718), Dragon/Ground Type, HP 108, Attack 100, Defense 121, Sp. Attack 81, Sp. Defense 95, Speed 95§
diancie:Diancie(719), Rock/Fairy Type, HP 50, Attack 100, Defense 150, Sp. Attack 100, Sp. Defense 150, Speed 50§
hoopa:Hoopa(720), Psychic/Ghost Type, HP 80, Attack 110, Defense 60, Sp. Attack 150, Sp. Defense 130, Speed 70§
volcanion:Volcanion(721), Fire/Water Type, HP 80, Attack 110, Defense 120, Sp. Attack 130, Sp. Defense 90, Speed 70§
rowlet:Rowlet(722), Grass/Flying Type, HP 68, Attack 55, Defense 55, Sp. Attack 50, Sp. Defense 50, Speed 42§
dartrix:Dartrix(723), Grass/Flying Type, HP 78, Attack 75, Defense 75, Sp. Attack 70, Sp. Defense 70, Speed 52§
decidueye:Decidueye(724), Grass/Ghost Type, HP 78, Attack 107, Defense 75, Sp. Attack 100, Sp. Defense 100, Speed 70§
