Bulbasaur: フシギダネ (fushigidane)§
タッツー (tattsu-): Horsea§
シードラ (shi-dora): Seadra§
トサキント (tosakinto): Goldeen§
アズマオウ (azumaou): Seaking§
ヒトデマン (hitodeman): Staryu§
スターミー (suta-mi-): Starmie§
バリヤード (bariya-do): Mr. Mime§
ストライク (sutoraiku): Scyther§
ルージュラ (ru-jura): Jynx§
エレブー (erebu-): Electabuzz§
ブーバー (bu-ba-): Magmar§
カイロス (kairosu): Pinisir§
ケンタロス (kentarosu): Tauros§
コイキング (koikingu): Magikarp§
ギャラドス (gyaradosu): Gyrados§
ラプラス (rapurasu): Lapras§
メタモン (metamon): Ditto§
イーブイ (i-bui): Eevee§
シャワーズ (shawa-zu): Vaporeon§
サンダース (sanda-su): Jolteon§
ブースター (bu-suta-): Flareon§
ポリゴン (porigon): Porygon§
オムナイト (omunaito): Omanyte§
オムスター (omusuta-): Omastar§
カブト (kabuto): Kabuto§
カブトプス (kabutopusu): Kabutops§
プテラ (putera): Aerodactyl§
カビゴン (kabigon): Snorlax§
フリーザー (furi-za-): Articuno§
サンダー (sanda-): Zapdos§
ファイヤー (faiya-): Moltres§
ミニリュウ (miniryū): Dratini§
ハクリュウ (hakuryū): Dragonair§
カイリュウ (kairyū): Dragonite§
ミュウツー (myūtsu-): Mewtwo§
ミュウ (myū): Mew§
チコリータ (chikori-ta): Chikorita§
ベイリーフ (beiri-fu): Bayleef§
メガニウム (meganiumu): Meganium§
ヒノアラシ (hinoarashi): Cyndaquil§
マグマラシ (magumarashi): Quilava§
バクフーン (bakufu-n): Typhlosion§
ワニノコ (waninoko): Totodile§
アリゲイツ (arigeitsu): Croconaw§
オーダイル (o-dairu): Feraligatr§
オタチ (otachi): Sentret§
オオタチ (ootachi): Furret§
ホホーホー (hoho-ho-): Hoothoot§
ヨルノズク (yorunozuku): Noctowl§
レヂィバ (redyiba): Ledyba§
レヂィアン (redyian): Ledian§
イトマル (itomaru): Spinarak§
アリアドス (ariadosu): Ariados§
クロバット (kurobatto): Crobat§
チョンチー (chonchi-): Chinchou§
ランターン (ranta-n): Lanturn§
ピチュウ (pichū): Pichu§
ピィ (pyi): Cleffa§
ププリン (pupurin): Igglybuff§
トゲピー (togepi-): Togepi§
トゲチック (togechikku): Togetic§
ネイチィ (neityi): Natu§
ネイチィオ (neityio): Xatu§
メリープ (meri-pu): Mareep§
モココ (mokoko): Flaaffy§
デンリュウ (denryū): Ampharos§
キレイハナ (kireihana): Bellossom§
マリル (mariru): Marill§
マリルリ (mariruri): Azumarill§
ウソッキー (usokki-): Sudowoodo§
ニョロトノ (nyorotono): Politoed§
ハネッコ (hanekko): Hoppip§
ポポッコ (popokko): Skiploom§
ワタッコ (watakko): Jumpluff§
エイパム (eipamu): Aipom§
ヒマナッツ (himanattsu): Sunkern§
キミワリ (kimiwari): Sunflora§
ヤンヤンマ (yanyanma): Yanma§
ウパー (upa-): Wooper§
ヌオー (nuo-): Quagsire§
エーフィ (e-fyi): Espeon§
ブラッキー (burakki-): Umbreon§
ヤミカラス (yamikarasu): Murkrow§
ヤドキング (yadokingu): Slowking§
ムウマ (muuma): Misdreavus§
アンノーン (anno-n): Unown§
ソーナンス (so-nansu): Wobbuffet§
キリンリキ (kirinriki): Girafarig§
クヌギダマ (kunugidama): Pineco§
フォレトス (fuxoretosu): Forretress§
ノコッチ (nokotchi): Dunsparce§
グライガー (guraiga-): Gligar§
ハガネール (hagane-ru): Steelix§
ブルー (buru-): Snubbull§
グランブル (guranburu): Granbull§
ハリーセン (hari-sen): Qwilfish§
ハッサム (hasamu): Scizor§
ツボツボ (tsubotsubo): Shuckle§
ヘラクロス (herakurosu): Heracross§
ニューラ (nyu-ra): Sneasel§
ヒメグマ (himeguma): Teddiursa§
リングマ (ringuma): Ursaring§
マグマッグ (magumaggu): Slugma§
マグカルゴ (magukarugo): Magcargo§
ウリムー (urimu-): Swinub§
イノムー (inomu-): Piloswine§
サニーゴ (sani-go): Corsola§
テッポウオ (teppouo): Remoraid§
オクタン (okutan): Octillery§
デリバード (deriba-do): Delibird§
マンタイン (mantain): Mantine§
エアームド (ea-mudo): Skarmory§
デルビル (derubiru): Houndoor§
ヘルガー (heruga-): Houndoom§
キングドラ (kingudora): Kingdra§
ゴマゾウ (gomazō): Phanpy§
ドンファン (donfan): Donphan§
ポリゴン２ (porigonni): Porygon2§
オドシシ (odoshishi): Stantler§
ドーブル (do-buru): Smeargle§
バルキー (baruki-): Tyrogue§
カポエラー (kapoera-): Hitmontop§
ムチュール (muchu-ru): Smoochum§
エレキッド (erekiddo): Elekid§
ブビィ (bubyi): Magby§
ミルタンク (mirutanku): Miltank§
ハピナス (hapinasu): Blissey§
ライコウ (raikō): Raikou§
エンテイ (entei): Entei§
スイクン (suikun): Suicune§
ヨーギラス (yo-girasu): Larvitar§
サナギラス (sanagirasu): Pupitar§
バンギラス (bangirasu): Tyranitar§
ルギア (rugia): Lugia§
ホウオウ (houou): Ho-Oh§
セリビィ (seribyi): Celebi§
キモリ (kimori): Treecko§
ジュプトル (juputoru): Grovyle§
ジュカイン (jukain): Sceptile§
アチャモ (achamo): Torchic§
ワカシャモ (wakashamo): Combusken§
バシャーモ (basha-mo): Blaziken§
ミズゴロウ (mizugorou): Mudkip§
ヌマクロー (numakuro-): Marshtomp§
ラグラージ (ragura-ji): Swampert§
ポチエナ (pochiena): Poochyena§
グラエナ (guraena): Mightyena§
ジグザグマ (jiguzaguma): Zigzagoon§
マッスグマ (massuguma): Linoone§
ケムッソ (kemusso): Wurmple§
カラサリス (karasarisu): Silcoon§
アゲハント (agehanto): Beautifly§
マユルド (mayurudo): Cascoon§
ドクケイル (dokukeiru): Dustox§
ハスボー (hasubo-): Lotad§
ハスブレロ (hasuburero): Lombre§
ルンパッパ (runpappa): Ludicolo§
タネボー (tanebo-): Seedot§
コノハナ (konohana): Nuzleaf§
ダーテング (da-tengu): Shiftry§
スバメ (subame): Tailow§
オオスバメ (oosubame): Swellow§
キャモメ (kyamome): Wingull§
ペリッパー (perippa-): Pelipper§
ラルトス (rarutosu): Ralts§
キルリア (kiruria): Kirlia§
サーナイト (sa-naito): Gardevoir§
アメタマ (ametama): Surskit§
アメモース (amemo-su): Masquerain§
キノココ (kinokoko): Shroomish§
キノガッサ (kinogassa): Breloom§
ナマケロ (namakero): Slakoth§
ヤルキモノ (yarukimono): Vigoroth§
ケッキング (kekkingu): Slaking§
ツチニン (tsuchinin): Nincada§
テッカニン (tekkanin): Ninjask§
ヌケニン (nukenin): Shedinja§
ゴニョニョ (gonyonyo): Whismur§
ドゴーム (dogo-mu): Loudred§
バクオング (bakuongu): Exploud§
マクノシタ (makunoshita): Makuhita§
ハリテヤマ (hariteyama): Hariyama§
ルリリ (ruriri): Azurill§
ノズパス (nozupasu): Nosepass§
エネコ (eneko): Skitty§
エネコロロ (enekororo): Delcatty§
ヤミラミ (yamirami): Sableye§
クチート (kuchi-to): Mawile§
ココドラ (kokodora): Aron§
コドラ (kodora): Lairon§
バスゴドラ (basugodora): Aggron§
アサナン (asanan): Meditite§
チャーレム (cha-remu): Medicham§
ラクライ (rakurai): Electrike§
ライボルト (raiboruto): Manectric§
プラスル (purasuru): Plusle§
マイナン (mainan): Minum§
バルビート (barubi-to): Volbeat§
イルミーゼ (irumi-ze): Illumise§
ロゼリア (rozeria): Roselia§
ゴクリン (gokurin): Gulpin§
マルノーム (maruno-mu): Swalot§
キバニア (kibania): Carvanha§
サメハダー (samehada-): Sharpedo§
ホエルコ (hoeruko): Wailmer§
ホエルオー (hoeruo-): Wailord§
ドンメル (donmeru): Numel§
バクーダ (baku-da): Camerupt§
コータス (ko-tasu): Torkoal§
バネブー (banebu-): Spoink§
ブーピッグ (bu-piggu): Grumpig§
パッチール (patchi-ru): Spinda§
ナックラー (nakkura-): Trapinch§
ビブラーバ (bibura-ba): Vibrava§
フライゴン (furaigon): Flygon§
サボネア (sabonea): Cacnea§
ノクタス (nokutasu): Cacturne§
チルット (chirutto): Swablu§
チルタリス (chirutarisu): Altaria§
ザングース (zangu-su): Zangoose§
ハブネーク (habune-ku): Seviper§
ルナトーン (runato-n): Lunatone§
ソルロック (sorurokku): Solrock§
ドジョッチ (dojotchi): Barboach§
ナマズン (namazun): Whiscash§
ヘイガニ (heigani): Corphish§
シザリガー (shizariga-): Crawdaunt§
ヤジロン (yajiron): Baltoy§
ネンドール (nendo-ru): Claydol§
リリーヤ (riri-ya): Lileep§
ユレイドル (yureidoru): Cradily§
アノプス (anopusu): Anorith§
アーマルド (a-marudo): Armaldo§
ヒンバス (hinbasu): Feebas§
ミロカロス (mirokarosu): Milotic§
ポワルン (powarun): Castform§
カクレオン (kakureon): Kecleon§
カゲボオズ (kageboozu): Shuppet§
ジュペッタ (jupetta): Banette§
ヨマワル (yomawaru): Duskull§
サマヨール (samayo-ru): Dusclops§
トロピウス (toropiusu): Tropius§
チリーン (chiri-n): Chimecho§
アブソル (abusoru): Absol§
ソーナノ (so-nano): Wynaut§
ユキワラシ (yukiwarashi): Snorunt§
オニゴーリ (onigo-ri): Glalie§
タマザラシ (tamazarashi): Spheal§
トドグラ (todogura): Sealeo§
トドゼルガ (todozeruga): Walrein§
パールル (pa-ruru): Clamperl§
ハンテール (hante-ru): Huntail§
サクラビス (sakurabisu): Gorebyss§
ジーランス (ji-ransu): Relicanth§
ラブカス (rabukasu): Luvdisc§
タツベイ (tatsubei): Bagon§
コモルー (komoru-): Shelgon§
ボーマンダ (bo-manda): Salamence§
ダンバル (danbaru): Beldum§
メタング (metangu): Metang§
メタグロス (metagurosu): Metagross§
レジロック (rejirokku): Regirock§
レジアイス (rejiaisu): Regice§
レジスチル (rejisuchiru): Registeel§
ラティアス (rathiasu): Latias§
ラティオス (rathiosu): Latios§
カイオーガ (kaio-ga): Kyogre§
グラードン (gura-don): Groudon§
レックウザ (rekkuuza): Rayquaza§
ジラーチ (jira-chi): Jirachi§
ヂオキシス (jiokishisu): Deoxys§
ナエトル (naetoru): Turtwig§
ハヤシガメ (hayashigame): Grotle§
ドダイトス (dodaitosu): Torterra§
ヒコザル (hikozaru): Chimchar§
モウカザル (moukazaru): Monferno§
ゴウカザル (goukazaru): Infernape§
ポッチャマ (potchama): Piplup§
ポッタイシ (pottaishi): Prinplup§
エンペルト (enperuto): Empoleon§
ムックル (mukkuru): Starly§
ムクバード (mukuba-do): Staravia§
ムクホーク (mukuho-ku): Staraptor§
ビッパ (bippa): Bidoof§
ビーダル (bi-daru): Bibarel§
コロボーシ (korobo-shi): Kricketot§
コロトック (korotokku): Kricketune§
コリンク (korinku): Shinx§
ルクシオ (rukushio): Luxio§
レントラー (rentora-): Luxray§
スボミー (subomi-): Budew§
ロズレイド (rozureido): Roserade§
ズガイドス (zugaidosu): Cranidos§
ラムパルド (ramuparudo): Rampardos§
タテトプス (tatetopusu): Shieldon§
トリデプス (toridepusu): Bastiodon§
ミノムッチ (minomutchi): Burmy§
ミノマダム (minomadamu): Wormadam§
ガーメイル (ga-meiru): Mothim§
ミツハニー (mitsuhani-): Combee§
ビークイン (bi-kuin): Vespiquen§
パチリス (pachirisu): Pachirisu§
ブイゼル (buizeru): Buizel§
フローゼル (furo-zeru): Floatzel§
チェリンボ (tyerinbo): Cherubi§
チェリム (tyerimu): Cherrim§
カラナクシ (karanakushi): Shellos§
トリトソン (toritoson): Gastrodon§
エテボース (etebo-su): Ambipom§
フワンテ (fuwante): Drifloon§
フワライド (fuwaraido): Drifblim§
ミミロル (mimiroru): Buneary§
ミミロップ (mimiroppu): Lopunny§
ムウマージ (muuma-ji): Mismagius§
ドンカラス (donkarasu): Honchkrow§
ミャルマー (myaruma-): Glameow§
ブニャット (bunyatto): Purugly§
リーシャン (ri-shan): Chingling§
スカンプー (sukanpu-): Stunky§
スカタンク (sukatanku): Skuntank§
ドーミラー (do-mira-): Bronzor§
ドータクン (do-takun): Bronzong§
ウソハチ (usohachi): Bonsly§
マネネ (manene): Mime Jr.§
ピンプク (pinpuku): Happiny§
ペラップ (perappu): Chatot§
ミカルゲ (mikaruge): Spiritomb§
フカマル (fukamaru): Gible§
ガバイト (gabaito): Gabite§
ガブリアス (gaburiasu): Garchomp§
ゴンベ (gonbe): Munchlax§
リオル (rioru): Riolu§
ルカリオ (rukario): Lucario§
ヒポポタス (hipopotasu): Hippopotas§
カバルドン (kabarudon): Hippowdon§
スコルピ (sukorupi): Skorupi§
ドラピオン (dorapion): Drapion§
グレッグル (guregguru): Croagunk§
ドクロッグ (dokuroggu): Toxicroak§
マスキッパ (masukippa): Carnivine§
ケイコウオ (keikouo): Finneon§
ネオラント (neoranto): Lumineon§
タマンタ (tamanta): Mantyke§
ユキカブリ (yukikaburi): Snover§
ユキノオー (yukinoo-): Abomasnow§
マニューラ (manyu-ra): Weavile§
ジバコイル (jibakoiru): Magnezone§
ベロベルト (beroberuto): Lickilicky§
ドサイドン (dosaidon): Rhyperior§
モジャンボ (mojanbo): Tangrowth§
エレキブル (erekiburu): Electivire§
ブーバーン (bu-ba-n): Magmortar§
トゲキッス (togekissu): Togekiss§
メガヤンマ (megayanma): Yanmega§
リーフィア (ri-fyia): Leafeon§
グレイシア (gureishia): Glaceon§
グライオン (guraion): Gliscor§
マンムー (manmu-): Mamoswine§
ポリゴンＺ (porigonzuxi-): Porygon-Z§
エルレイド (erureido): Gallade§
ダイノーズ (daino-zu): Probopass§
ヨノワール (yonowa-ru): Dusknoir§
ユキメノコ (yukimenoko): Froslass§
ロトム (rotomu): Rotom§
ユクシー (yukushi-): Uxie§
エムリット (emuritto): Mesprit§
アグノム (agunomu): Azelf§
ヂィアルガ (dyiaruga): Dialga§
パルキア (parukia): Palkia§
ヒードラン (hi-doran): Heatran§
レジギガス (rejigigasu): Regigigas§
ギラティナ (girathina): Giratina§
クレセリア (kureseria): Cresselia§
フィオネ (fyione): Phione§
マナフィ (manafyi): Manaphy§
ダークライ (da-kurai): Darkrai§
シェイミ (sheimi): Shaymin§
アルセウス (aruseusu): Arceus§
ビクチイニ (bikuchiini): Victini§
ツタージャ (tsuta-ja): Snivy§
ジャノビー (janobi-): Servine§
ジャローダ (jaro-da): Serperior§
ポカブ (pokabu): Tepig§
チャオブー (chaobu-): Pignite§
エンブオー (enbuo-): Emboar§
ミジュマル (mijumaru): Oshawott§
フタチマル (futachimaru): Dewott§
ダイケンキ (daikenki): Samurott§
ミネズミ (minezumi): Patrat§
ミルホッグ (miruhoggu): Watchog§
ヨーテリー (yo-teri-): Lillipup§
ハーヂリア (ha-jiria): Herdier§
ムーランド (mu-rando): Stoutland§
チョロネコ (choroneko): Purrloin§
レパルダス (reparudasu): Liepard§
ヤナップ (yanappu): Pansage§
ヤナッキー (yanakki-): Simisage§
バオップ (baoppu): Pansear§
バオッキー (baokki-): Simisear§
ヒヤップ (hiyappu): Panpour§
ヒヤッキー (hiyakki-): Simipour§
ムンナ (munna): Munna§
ムシャーナ (musha-na): Musharna§
マメパト (mamepato): Pidove§
ハトーポー (hato-po-): Tranquill§
ケンホロウ (kenhorou): Unfezant§
シママ (shimama): Blitzle§
ゼブライカ (zeburaika): Zebstrika§
ダンゴロ (dangoro): Roggenrola§
ガントル (gantoru): Boldore§
ギガイアス (gigaiasu): Gigalith§
コロモリ (koromori): Woobat§
ココロモリ (kokoromori): Swoobat§
モグリュー (moguryu-): Drilbur§
ドリュウズ (doryūzu): Excadrill§
タブンネ (tabunne): Audino§
ドッコラー (dokkora-): Timburr§
ドテッコツ (dotekkotsu): Gurdurr§
ローブシン (ro-bushin): Conkeldurr§
オタマロ (otamaro): Tympole§
ガマガル (gamagaru): Palpitoad§
ガマゲロゲ (gamageroge): Seismitoad§
ナゲキ (nageki): Throh§
ダゲキ (dageki): Sawk§
クルミル (kurumiru): Sewaddle§
クルマユ (kurumayu): Swadloon§
ハハコモリ (hahakomori): Leavanny§
フシデ (fushide): Venipede§
ホイーガ (hoi-ga): Whirlipede§
ペンドラー (pendora-): Scoliopede§
モンメン (monmen): Cottonee§
エルフーン (erufu-n): Whimsicott§
チュリネ (churine): Petilil§
ドレヂィア (doredyia): Lilligant§
バスラオ (basurao): Basculin§
メグロコ (meguroko): Sandile§
ワルビル (warubiru): Krokorok§
ワルビアル (warubiaru): Krookodile§
ダルマッカ (darumakka): Darumaka§
ヒヒダルマ (hihidaruma): Darmanitan§
マラカッチ (marakatchi): Maractus§
イシズマイ (ishizumai): Dwebble§
イワパレス (iwaparesu): Crustle§
ズルッグ (zuruggu): Scraggy§
ズルズキン (zuruzukin): Scrafty§
シンボラー (shinbora-): Sigilyph§
デスマス (desumasu): Yamask§
デスカーン (desuka-n): Cofagrigus§
プロトーガ (puroto-ga): Tirtouga§
アバゴーラ (abago-ra): Carracosta§
アーケン (a-ken): Archen§
アーケオス (a-keosu): Archeops§
ヤブクロン (yabukuron): Trubbish§
ダストダス (dasutodasu): Garbodor§
ゾロア (zoroa): Zorua§
ゾロアーク (zoroa-ku): Zoroark§
チラーミィ (chira-myi): Minccino§
チラチーノ (chirachi-no): Cinccino§
ゴチム (gochimu): Gothita§
ゴチミル (gochimiru): Gothorita§
ゴチルゼル (gochiruzeru): Gothitelle§
ユニラン (yuniran): Solosis§
ダブラン (daburan): Duosion§
ランクルス (rankurusu): Reuniclus§
コアルヒー (koaruhi-): Ducklett§
スワンナ (suwanna): Swanna§
バニプッチ (baniputchi): Vanillite§
バニリッチ (baniritchi): Vanillish§
バイバニラ (baibanira): Vanilluxe§
シキジカ (shikijika): Deerling§
メブキジカ (mebukijika): Sawsbuck§
エモンガ (emonga): Emolga§
カブルモ (kaburumo): Karrablast§
シュバルゴ (shubarugo): Escavalier§
タマゲタケ (tamagetake): Foongus§
モロバレル (morobareru): Amoongus§
プルリル (pururiru): Frillish§
ブルンゲル (burungeru): Jellicent§
ママンボウ (mamanbou): Alomomola§
バチュル (bachuru): Joltik§
デンチュラ (denchura): Galvantula§
テッシード (tesshi-do): Ferroseed§
ナットレイ (nattorei): Ferrothorn§
ギアル (giaru): Klink§
ギギアル (gigiaru): Klang§
ギギギアル (gigigiaru): Klinklang§
シビシラス (shibishirasu): Tynamo§
シビビール (shibibi-ru): Eelektrik§
シビルドン (shibirudon): Eelektross§
リグレー (rigure-): Elgyem§
オーベム (o-bemu): Beheeyem§
ヒトモシ (hitomoshi): Litwick§
ランプラー (ranpura-): Lampent§
シャンデラ (shandera): Chandelure§
キバゴ (kibago): Axew§
オノンド (onondo): Fraxure§
オノノクス (ononokusu): Haxorus§
クマシュン (kumashun): Cubchoo§
ツンビアー (tsunbia-): Beartic§
フリージオ (furi-jio): Cryogonal§
チョボマキ (chobomaki): Shelmet§
アギルダー (agiruda-): Accelgor§
マッギョ (maggyo): Stunfisk§
コジョフー (kojofu-): Mienfoo§
コジョンド (kojondo): Mienshao§
クリムガン (kurimugan): Druddigon§
ゴビット (gobitto): Golette§
ゴルーグ (goru-gu): Golurk§
コマタナ (komatana): Pawniard§
キルキザン (kirukizan): Bisharp§
バッフロン (baffuron): Bouffalant§
ワシボン (washibon): Rufflet§
ウォーグル (uxo-guru): Braviary§
バルチャイ (baruchai): Vullaby§
バルジーナ (baruji-na): Mandibuzz§
クイタラン (kuitaran): Heatmor§
アイアント (aianto): Durant§
モノズ (monozu): Deino§
ジヘッド (jiheddo): Zweilous§
サザンドラ (sazandora): Hydreigon§
メラルバ (meraruba): Larvesta§
ウルガモス (urugamosu): Volcarona§
コバルオン (kobaruon): Cobalion§
テラキオン (terakion): Terrakion§
ビリジオン (birijion): Virizion§
トルネロス (torunerosu): Tornadus§
ボルトロス (borutorosu): Thundurus§
レシラム (reshiramu): Reshiram§
ゼクロム (zekuromu): Zekrom§
ランドロス (randorosu): Landorus§
キュレム (kyuremu): Kyurem§
ケルヂィオ (kerudyio): Keldeo§
メロエッタ (meroetta): Meloetta§
ゲノセクト (genosekuto): Genesect§
ハリマロン (harimaron): Chespin§
ハリボーグ (haribo-gu): Quilladin§
ブリガロン (burigaron): Chesnaught§
フォッコ (fuxokko): Fennekin§
テールナー (te-runa-): Braixen§
マフォクシー (mafuxokushi-): Delphox§
ケロマツ (keromatsu): Froakie§
ゲコガシラ (gekogashira): Frogadier§
ゲッコウガ (gekkouga): Greninja§
ホルビー (horubi-): Bunnelby§
ホルード (horu-do): Diggersby§
ヤヤコマ (yayakoma): Fletchling§
ヒノヤコマ (hinoyakoma): Fletchinder§
ファイアロー (faiaro-): Talonflame§
コフキムシ (kofukimushi): Scatterbug§
コフーライ (kofu-rai): Spewpa§
ビビヨン (bibiyon): Vivillon§
シシコ (shishiko): Litleo§
カエンジシ (kaenjishi): Pyroar§
フラベベ (furabebe): Flabébé§
フラエッテ (furaette): Floette§
フラージェス (fura-jyesu): Florges§
メェークル (mexe-kuru): Skiddo§
ゴーゴート (go-go-to): Gogoat§
ヤンチャム (yanchamu): Pancham§
ゴロンダ (goronda): Pangoro§
トリミアン (torimian): Furfrou§
ニャスパー (nyasupa-): Espurr§
ニャオニクス (nyaonikusu): Meowstic§
ヒトツキ (hitotsuki): Honedge§
ニダンギル (nidangiru): Doublade§
ギルガルド (girugarudo): Aegislash§
シュシュプ (shushupu): Spritzee§
フレフワン (furefuwan): Aromatisse§
ペロッパフ (peroppafu): Swirlix§
ペロリーム (perori-mu): Slurpuff§
マーイーカ (ma-i-ka): Inkay§
カラマネロ (karamanero): Malamar§
カメテテ (kametete): Binacle§
ガメノデス (gamenodesu): Barbaracle§
クズモー (kuzumo-): Skrelp§
ドラミドロ (doramidoro): Dragalge§
ウデッポウ (udeppou): Clauncher§
ブロスター (burosuta-): Clawitzer§
エリキテル (erikiteru): Helioptile§
エレザード (ereza-do): Heliolisk§
チゴラス (chigorasu): Tyrunt§
ガチゴラス (gachigorasu): Tyrantrum§
アマルス (amarusu): Amaura§
アマルルガ (amaruruga): Aurorus§
ニンフィア (ninfyia): Sylveon§
ルチャブル (ruchaburu): Hawlucha§
デデンネ (dedenne): Dedenne§
メレシー (mereshi-): Carbink§
ヌメラ (numera): Goomy§
ヌメイル (numeiru): Sliggoo§
ヌメルゴン (numerugon): Goodra§
クレッフィ (kureffyi): Klefki§
ボクレー (bokure-): Phantump§
オーロット (o-rotto): Trevenant§
バケッチャ (baketcha): Pumpkaboo§
パンプジン (panpujin): Gourgeist§
カチコール (kachiko-ru): Bergmite§
クレベース (kurebe-su): Avalugg§
オンバット (onbatto): Noibat§
オンバーン (onba-n): Noivern§
ゼルネアス (zeruneasu): Xerneas§
イベルタル (iberutaru): Yveltal§
ジガルデ (jigarude): Zygarde§
ヂィアンシー (dyianshi-): Diancie§
フーパ (fu-pa): Hoopa§
ボルケニオン (borukenion): Volcanion§
モクロー (mokuro-): Rowlet§
フクスロー (fukusuro-): Dartrix§
ジュナイパー (junaipa-): Decidueye§
ニャビー (nyabi-): Litten§
ニャヒート (nyahi-to): Torracat§
ガオガエン (gaogaen): Incineroar§
アシマリ (ashimari): Popplio§
オシャマリ (oshamari): Brionne§
アシレーヌ (ashire-nu): Primarina§
ツツケラ (tsutsukera): Pikipek§
ケララッパ (kerarappa): Trumbeak§
ドデカバシ (dodekabashi): Toucannon§
ヤングース (yangu-su): Yungoos§
デカグース (dekagu-su): Gumchoos§
アゴジムシ (agojimushi): Grubbin§
デンジムシ (denjimushi): Charjabug§
クワガノン (kuwaganon): Vikavolt§
マケンカニ (makenkani): Crabrawler§
ケケンカニ (kekenkani): Crabominable§
オドリドリ (odoridori): Oricorio§
アブリー (aburi-): Cutiefly§
アブリボン (aburibon): Ribombee§
イワンコ (iwanko): Rockruff§
ルガルガン (rugarugan): Lycanroc§
ヨワシ (yowashi): Wishiwashi§
ヒドイデ (hidoide): Mareanie§
ドヒドイデ (dohidoide): Toxapex§
ドロバンコ (dorobanko): Mudbray§
バンバドロ (banbadoro): Mudsdale§
シズクモ (shizukumo): Dewpider§
オニシズクモ (onishizukumo): Araquanid§
カリキリ (karikiri): Fomantis§
ラランテス (rarantesu): Lurantis§
ネマシュ (nemashu): Morelull§
マシェード (mashe-do): Shiinotic§
ヤトウモリ (yatoumori): Salandit§
エンニュート (ennyu-to): Salazzle§
ヌイコグマ (nuikoguma): Stufful§
キテルグマ (kiteruguma): Bewear§
アマカジ (amakaji): Bounsweet§
アママイコ (amamaiko): Steenee§
アマージョ (ama-jo): Tsareena§
キュワワー (kyuwawa-): Comfey§
ヤレユータン (yareyu-tan): Oranguru§
ナゲツケサル (nagetsukesaru): Passimian§
コソクムシ (kosokumushi): Wimpod§
グソクムシャ (gusokumusha): Golisopod§
スナバァ (sunabaa): Sandygast§
シロデスナ (shirodesuna): Palosand§
ナマコブシ (namakobushi): Pyukumuku§
タイプ：ヌル (taipunuru): Type:  Null§
シルヴァヂィ (shiruvadyi): Silvally§
メテノ (meteno): Minior§
ネッコアラ (nekkoara): Komala§
バクガメス (bakugamesu): Turtonator§
トゲデマル (togedemaru): Togedemaru§
ミミッキュ (mimikkyu): Mimikyu§
ハギギシリ (hagigishiri): Bruxish§
ジジーロン (jiji-ron): Drampa§
ダダリン (dadarin): Dhelmise§
ジャラコ (jarako): Jangmo-o§
ジャランゴ (jarango): Hakamo-o§
ジャラランガ (jararanga): Kommo-o§
カプ・コケコ (kapukokeko): Tapu Koko§
カプ・テテフ (kaputetefu): Tapu Lele§
カプ・ブルル (kapubururu): Tapu Bulu§
カプ・レヒレ (kapurehire): Tapu Fini§
コスモッグ (kosumoggu): Cosmog§
コスモウム (kosumoumu): Cosmoem§
ソルガレオ (sorugareo): Solgaleo§
ルナアーラ (runaa-ra): Lunala§
ウツロイド (utsuroido): Nihilego§
マッシブーン (masshibu-n): Buzzwole§
フェローチェ (fyero-tye): Pheromosa§
デンジュモク (denjumoku): Xurkitree§
テッカグヤ (tekkaguya): Celesteela§
カミツルギ (kamitsurugi): Kartana§
アクジキング (akujikingu): Guzzlord§
ネクロスマ (nekurosuma): Necrozma§
マギアナ (magiana): Magearna§
マーシャドー (ma-shado-): Marshadow§
ベベノム (bebenomu): Poipole§
アーゴヨン (a-goyon): Naganadel§
ツンデツンデ (tsundetsunde): Stakataka§
ズガドーン (zugado-n): Blacephalon§
ゼラオラ (zeraora): Zeraora§
メルタン (merutan): Meltan§
メルメタル (merumetaru): Melmetal§
サルノリ (sarunori): Grookey§
バチンキー (bachinki-): Thwakey§
ゴリランダー (goriranda-): Rillaboom§
ヒバニー (hibani-): Scorbunny§
ラビフット (rabifutto): Raboot§
エースバーン (e-suba-n): Cinderace§
メッソン (messon): Sobble§
ジメレオン (jimereon): Drizzile§
インテレオン (intereon): Inteleon§
ホシガリス (hoshigarisu): Skowvet§
ヨクバリス (yokubarisu): Greedent§
ココガラ (kokogara): Rookidee§
アオガラス (aogarasu): Corvisquire§
アーマーガア (a-ma-gaa): Corviknight§
サッチミシ (satchimishi): Blipbug§
レドームシ (redo-mushi): Dottler§
イオルブ (iorubu): Orbeetle§
クスネ (kusune): Nickit§
フォクスライ (fuxokusurai): Thievul§
ヒメンカ (himenka): Gossifleur§
ワタシラガ (watashiraga): Eldegoss§
ウールー (u-ru-): Wooloo§
バイウールー (baiu-ru-): Dubwool§
カムカメ (kamukame): Chewtle§
カジリガメ (kajirigame): Drednaw§
ワンパチ (wanpachi): Yamper§
パルスワン (parusuwan): Boltund§
タンドン (tandon): Rolycoly§
トロッゴン (toroggon): Carkol§
セキタンザン (sekitanzan): Coalossal§
カジッチュ (kajitchu): Applin§
アップリュー (appuryu-): Flapple§
タルップル (taruppuru): Appletun§
スナヘビ (sunahebi): Silicobra§
サダイジャ (sadaija): Sandaconda§
ウッウ (uuu): Cramorant§
サシカマス (sashikamasu): Arrokuda§
カマスジョー (kamasujo-): Barraskewda§
エレゼン (erezen): Toxel§
ストリンダー (sutorinda-): Toxtricity§
